dateTime,activities-calories,activities-steps,Activities-distance,activities-floors,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-efficiency
2016-06-10,2257,12394,9,0,01:21,404,404,100
2016-06-11,1825,1061,0,0,,0,0,0
2016-06-12,1795,310,0,0,,0,0,0
2016-06-13,2077,6047,4,0,00:28,502,502,100
2016-06-14,2161,9435,6,0,01:06,454,454,100
2016-06-15,2002,5347,3,0,01:10,435,435,100
2016-06-16,2105,8332,6,0,01:25,414,414,100
2016-06-17,2135,7993,5,0,01:23,416,416,100
2016-06-18,2351,17209,12,0,,0,0,0
2016-06-19,2233,13487,9,0,00:38,532,532,100
2016-06-20,2157,10457,7,0,00:28,549,549,100
2016-06-21,2108,9847,7,0,,0,0,0
2016-06-22,2112,10215,7,0,00:02,510,510,100
2016-06-23,2065,7249,5,0,01:59,399,399,100
2016-06-24,2268,13540,10,0,00:48,412,412,100
2016-06-25,2564,18956,14,0,01:29,378,378,100
2016-06-26,1971,4314,3,0,,0,0,0
2016-06-27,2147,8258,6,0,00:36,465,465,100
2016-06-28,2106,7529,5,0,01:32,419,419,100
2016-06-29,2073,6369,4,0,00:59,463,463,100
2016-06-30,2383,14030,10,0,01:10,427,427,100
2016-07-01,2424,14789,10,0,00:59,460,460,100
2016-07-02,2294,13939,10,0,01:22,432,432,100
2016-07-03,2004,4958,3,0,,0,0,0
2016-07-04,2173,11042,8,0,01:27,420,420,100
2016-07-05,2168,10190,7,0,01:18,388,388,100
2016-07-06,2277,11155,8,0,01:10,399,399,100
2016-07-07,2144,9033,6,0,01:50,406,406,100
2016-07-08,2373,16866,12,0,00:57,445,445,100
2016-07-09,2570,26648,19,0,01:32,300,300,100
2016-07-10,2572,28282,20,0,00:33,418,418,100
2016-07-11,2026,6347,4,0,00:43,451,451,100
2016-07-12,2105,9007,6,0,01:20,417,417,100
2016-07-13,2093,7615,5,0,01:11,429,429,100
2016-07-14,2161,10041,7,0,01:08,426,426,100
2016-07-15,2217,12700,9,0,01:24,412,412,100
2016-07-16,2590,25692,18,0,01:22,278,278,100
2016-07-17,2555,26422,19,0,00:13,472,472,100
2016-07-18,2222,9843,7,0,00:54,454,454,100
2016-07-19,2098,8506,6,0,00:59,456,456,100
2016-07-20,2102,7868,5,0,01:13,446,446,100
2016-07-21,2195,11274,8,0,01:26,424,424,100
2016-07-22,2118,8447,6,0,00:49,433,433,100
2016-07-23,2082,5757,4,0,01:27,461,461,100
2016-07-24,2162,8950,6,0,01:15,454,454,100
2016-07-25,2288,12578,9,0,00:30,305,305,100
2016-07-26,2275,12081,8,0,03:49,320,320,100
2016-07-27,2231,9777,7,0,02:48,243,243,100
2016-07-28,2373,14020,10,0,,0,0,0
2016-07-29,2221,10155,7,0,01:54,353,353,100
2016-07-30,2094,7517,5,0,,0,0,0
2016-07-31,2166,10800,7,0,,0,0,0
2016-08-01,2098,8125,6,0,00:58,475,475,100
2016-08-02,2255,14268,10,0,01:51,413,413,100
2016-08-03,2621,29027,21,0,01:07,553,553,100
2016-08-04,2349,15747,11,0,,0,0,0
2016-08-05,2557,22981,16,0,00:50,451,451,100
2016-08-06,2524,21718,16,0,,0,0,0
2016-08-07,2520,22802,16,0,01:41,508,508,100
2016-08-08,2430,17462,12,0,01:09,484,484,100
2016-08-09,2477,22002,16,0,,0,0,0
2016-08-10,2358,19005,14,0,01:14,554,554,100
2016-08-11,2430,21646,15,0,01:09,537,537,100
2016-08-12,2499,18806,13,0,02:22,346,346,100
2016-08-13,2302,14775,10,0,,0,0,0
2016-08-14,2404,20149,14,0,,0,0,0
2016-08-15,2519,24996,18,0,00:55,513,513,100
2016-08-16,2354,19275,14,0,01:00,536,536,100
2016-08-17,2238,14622,10,0,00:37,540,540,100
2016-08-18,2235,13316,9,0,00:50,491,491,100
2016-08-19,1982,4080,3,0,01:32,392,392,100
2016-08-20,2118,8431,6,0,01:13,422,422,100
2016-08-21,1970,4723,3,0,,0,0,0
2016-08-22,2142,7654,5,0,01:39,417,417,100
2016-08-23,2199,10442,7,0,00:55,465,465,100
2016-08-24,2039,6355,4,0,,0,0,0
2016-08-25,2417,15340,11,0,00:53,454,454,100
2016-08-26,2210,9900,7,0,01:53,326,326,100
2016-08-27,2128,7963,5,0,01:04,465,465,100
2016-08-28,2052,6621,4,0,00:35,498,498,100
2016-08-29,2234,11591,8,0,01:11,473,473,100
2016-08-30,2094,8485,6,0,01:02,418,418,100
2016-08-31,2246,12215,9,0,01:57,355,355,100
2016-09-01,2066,6040,4,0,01:22,437,437,100
2016-09-02,2430,17676,13,0,,0,0,0
2016-09-03,2172,8692,6,0,,0,0,0
2016-09-04,2514,19447,14,0,01:14,403,403,100
2016-09-05,2104,7437,5,0,00:40,406,406,100
2016-09-06,2128,8592,6,0,01:17,400,400,100
2016-09-07,2032,5913,4,0,01:35,371,371,100
2016-09-08,2057,7159,5,0,01:04,453,453,100
2016-09-09,2157,10301,7,0,00:59,467,467,100
2016-09-10,2165,8534,6,0,01:09,446,446,100
2016-09-11,2474,14626,10,0,,0,0,0
2016-09-12,2182,9600,7,0,01:04,453,453,100
2016-09-13,2227,11008,8,0,01:20,400,400,100
2016-09-14,2129,8848,6,0,01:01,396,396,100
2016-09-15,2121,8511,6,0,01:13,433,433,100
2016-09-16,2085,7641,5,0,01:14,406,406,100
2016-09-17,2309,13978,10,0,01:34,382,382,100
2016-09-18,2276,12223,9,0,01:34,377,377,100
2016-09-19,2065,7299,5,0,00:20,491,491,100
2016-09-20,2610,19381,14,0,01:04,416,416,100
2016-09-21,2144,7735,5,0,01:27,388,388,100
2016-09-22,2226,12403,9,0,01:18,384,384,100
2016-09-23,2262,13326,9,0,00:47,481,481,100
